"filename","n","e","l","u","EA","HybridIA","diff"
"Rand_100_247_7603_10_25.fvs",100,247,10,25,499.4,498.4,0.200642054574639
"Rand_100_247_7643_10_50.fvs",100,247,10,50,836.4,833.8,0.311825377788441
"Rand_100_247_7683_10_75.fvs",100,247,10,75,1213.4,1207.2,0.513585155732277
"Rand_100_3069_9763_10_25.fvs",100,3069,10,25,1134,1134,0
"Rand_100_3069_9803_10_50.fvs",100,3069,10,50,2179,2179,0
"Rand_100_3069_9843_10_75.fvs",100,3069,10,75,3228.6,3228.6,0
"Rand_100_841_8683_10_25.fvs",100,841,10,25,826.8,826.8,0
"Rand_100_841_8723_10_50.fvs",100,841,10,50,1725,1724.4,0.0347947112038917
"Rand_100_841_8763_10_75.fvs",100,841,10,75,2420.4,2420.4,0
"Rand_50_232_3643_10_25.fvs",50,232,10,25,386.2,386.2,0
"Rand_50_232_3683_10_50.fvs",50,232,10,50,709.8,708.6,0.169348010160871
"Rand_50_232_3723_10_75.fvs",50,232,10,75,951.6,951.6,0
"Rand_50_784_4723_10_25.fvs",50,784,10,25,602,602,0
"Rand_50_784_4763_10_50.fvs",50,784,10,50,1172,1171.8,0.0170677590032468
"Rand_50_784_4803_10_75.fvs",50,784,10,75,1648.8,1648.8,0
"Rand_50_85_2563_10_25.fvs",50,85,10,25,175.4,174.6,0.458190148911805
"Rand_50_85_2603_10_50.fvs",50,85,10,50,283,280.8,0.783475783475779
"Rand_50_85_2643_10_75.fvs",50,85,10,75,348,348,0
